,conv1,layer1.0.conv1,layer1.0.conv2,layer1.0.conv3,layer1.1.conv1,layer1.1.conv2,layer1.1.conv3,layer1.2.conv1,layer1.2.conv2,layer1.2.conv3,layer2.0.conv1,layer2.0.conv2,layer2.0.conv3,layer2.1.conv1,layer2.1.conv2,layer2.1.conv3,layer2.2.conv1,layer2.2.conv2,layer2.2.conv3,layer2.3.conv1,layer2.3.conv2,layer2.3.conv3,layer3.0.conv1,layer3.0.conv2,layer3.0.conv3,layer3.1.conv1,layer3.1.conv2,layer3.1.conv3,layer3.2.conv1,layer3.2.conv2,layer3.2.conv3,layer3.3.conv1,layer3.3.conv2,layer3.3.conv3,layer3.4.conv1,layer3.4.conv2,layer3.4.conv3,layer3.5.conv1,layer3.5.conv2,layer3.5.conv3,layer4.0.conv1,layer4.0.conv2,layer4.0.conv3,layer4.1.conv1,layer4.1.conv2,layer4.1.conv3,layer4.2.conv1,layer4.2.conv2,layer4.2.conv3
0,-0.9017549879845217,-0.9272437365603938,-0.9061275083379375,-0.8925989703192985,-0.924830235935931,-0.8571691295142455,-0.8396566103382349,-0.9411857553808445,-0.8960231784320386,-0.8525553025781982,-0.9335999571394198,-0.8839585416086911,-0.8619213714702196,-0.90940990291269,-0.9067606338849061,-0.8924983619016464,-0.9259330859444701,-0.8894852013543797,-0.8579426567002846,-0.9030865426130211,-0.8473622295860583,-0.87022224423782,-0.9646404043071898,-0.9205603239814897,-0.8981459394718895,-0.9770392416509937,-0.9044118512841994,-0.9415134722122582,-0.9976770062511703,-0.9356160949959795,-0.8425413487282581,-0.997184005654757,-0.9586305469601182,-0.5567391101502145,-0.9989653358246949,-0.9735925219298771,-0.9387836416537538,-0.9934100031932578,-0.8965152936276757,-0.8599646502970146,-0.9954643605192781,-0.8589749668193013,-0.725658682479681,-0.8951656563550459,-0.5460672678189258,-0.36663625804321726,-0.6206075657154166,-0.3486640866020123,-0.3712840165905247
1,-0.9772575000656955,-0.9797976573094904,-0.9773658702826339,-0.9707082635402533,-0.9734430011452013,-0.9417018323938415,-0.9182400582182331,-0.9747173715195513,-0.9685640986515951,-0.9477096759466284,-0.9710253688866477,-0.9615810243447058,-0.951692611641798,-0.9617015503776813,-0.9675121171900363,-0.9618401314782659,-0.9648717638083724,-0.9607373539741703,-0.9508318317706591,-0.9514903056085222,-0.9326144008112047,-0.9313764853382392,-0.9838092098922948,-0.9751907497274328,-0.9742672239300215,-0.9898121379493638,-0.962961390439077,-0.9787560394682887,-0.9984105015196353,-0.939844117384554,-0.9288551346806053,-0.9983085791403123,-0.9804905784129927,-0.9321618347394308,-0.9992220521143629,-0.9749553795293777,-0.9545005022556361,-0.9942892787170442,-0.9403950759640904,-0.9380596288726362,-0.9964111851112432,-0.9122816998951391,-0.8052494561675431,-0.9570887006557826,-0.7061699368948582,-0.4705739811892319,-0.755523805101267,-0.3567296925418683,-0.13661264957142294
2,-0.9850045191139889,-0.9880650749067226,-0.9823061294961999,-0.9789730230109983,-0.9808070922520833,-0.9590424083382167,-0.937908546768004,-0.9808145683528886,-0.9779237357431484,-0.9651593134298806,-0.976585979909754,-0.9742798123228973,-0.9723116527111567,-0.9680719294919089,-0.9717733820567698,-0.9716345045590206,-0.9723047218278131,-0.9708855762863937,-0.9660606244982967,-0.9621677905148688,-0.9544109504868113,-0.9540618835307872,-0.9872833359095216,-0.9836269236568171,-0.982647028148306,-0.9911648930945884,-0.9726245890922204,-0.9803788332987078,-0.9988401730116704,-0.9621073785816993,-0.9465545721892867,-0.9987586386533285,-0.9896566534442873,-0.9980335272745375,-0.9995292203727729,-0.9802444844321283,-0.9660768000100595,-0.9953678412270648,-0.9408750231507184,-0.9320839545450268,-0.9967486830639372,-0.9164508994350682,-0.8409163148770089,-0.9643481958261144,-0.7234893591651974,-0.49746218595097547,-0.7765496491483443,-0.3608508148333952,-0.14852697478661667
3,-0.969971770325545,-0.9717449089161732,-0.9682558933414026,-0.959293533928969,-0.9718021386949173,-0.943989474191431,-0.9242785923042237,-0.974444700931601,-0.9670464617889231,-0.9480572311699724,-0.9686119617416803,-0.9538525762662794,-0.9432610442464175,-0.9570267887171173,-0.959182980720884,-0.9513173306774717,-0.9653862446173569,-0.9608254852584621,-0.9480210078870154,-0.9517930081633688,-0.9285599502183695,-0.9351458456649344,-0.983419617663724,-0.9719291903808202,-0.969791614335793,-0.9882855459483861,-0.940439304920536,-0.9695196278750394,-0.9986349734864473,-0.9340140244734234,-0.8279421377520302,-0.9985319711193779,-0.9817535908055981,-0.9185336641053271,-0.9993649706271048,-0.979584268411394,-0.9511556203935527,-0.9953468023443678,-0.9377523722322453,-0.9034823236148425,-0.9970275127513915,-0.9151332535972192,-0.8623297405948662,-0.9563449405752158,-0.7150454876948797,-0.5825518115544286,-0.7925620265549058,-0.5078713587486601,-0.420496938626165
4,-0.9829850023191242,-0.9850392163367441,-0.980419229234139,-0.9757740908207236,-0.9817312188951126,-0.9662146391555977,-0.9501992376940417,-0.9803835955936023,-0.9760132931103517,-0.9637917267118119,-0.9764122554411359,-0.9702989368015225,-0.9658861662043825,-0.9698118825054123,-0.9714080404770171,-0.9673155162879958,-0.9732098375187264,-0.9715225634154064,-0.96504683418391,-0.9651862375889555,-0.9492969848284725,-0.9524088244818216,-0.987020846964127,-0.9813261333786862,-0.9797442709939423,-0.9892065912707333,-0.9509668694289026,-0.9736996877966476,-0.9979844142186266,-0.9065605970250057,-0.8555340757977741,-0.9980074255583831,-0.9702713398187552,-0.8064524568676731,-0.9988707137530254,-0.9567850003779841,-0.9411335109690145,-0.9951340701686004,-0.9337220364667778,-0.9029004282945019,-0.9969456018380003,-0.9166272342694954,-0.8842092052193853,-0.963456224743429,-0.7559558900641042,-0.6265418422037479,-0.8059118497492745,-0.571683182500033,-0.4995482766002248
5,-0.8988193840887152,-0.9110238244688739,-0.8884828621031388,-0.8848863314102582,-0.9295858372769278,-0.8702183021337684,-0.8493546482336278,-0.9403621442728313,-0.895020687714227,-0.8658694648494548,-0.9317466699792676,-0.878272453853738,-0.85954715615905,-0.9044072967595008,-0.8959092563560105,-0.8797001583366706,-0.9256813183064201,-0.8985359868185667,-0.8666598592751653,-0.9031723051478955,-0.85592920826326,-0.8739470019188149,-0.9608612743789795,-0.9117549211647364,-0.8956587588982383,-0.9775429858797757,-0.9012824870273755,-0.936771551807535,-0.9977714067896944,-0.950774210534605,-0.8586478938139244,-0.997327468161934,-0.9677436002623935,-0.7912374973397744,-0.9991318301691328,-0.9813765354104348,-0.957753446580627,-0.9939710568892057,-0.9089670681813548,-0.8696969842174365,-0.9956870992935127,-0.8743915329581092,-0.7666193524272527,-0.9011344030826762,-0.5821463739387975,-0.3946065320506567,-0.6546335275053027,-0.364702967881064,-0.38354055468087533
6,-0.9852189081678615,-0.9876088784959736,-0.9832609332472474,-0.9793812112536672,-0.9847317519207347,-0.9701836311825657,-0.9564400734161019,-0.9838759091800369,-0.9799930081590497,-0.9715000352369049,-0.9815623961928148,-0.9772460057593686,-0.9743532267925594,-0.9771798957771547,-0.978352481915066,-0.9741743015046592,-0.9792150313750642,-0.9772853779186117,-0.9705514326501958,-0.9706272485801604,-0.9576209246346747,-0.9588549068126538,-0.9884428571501165,-0.9829993708598694,-0.980163381804706,-0.9918390539810276,-0.9677173891583654,-0.9818979403864035,-0.9987632119258569,-0.9569158474431776,-0.8864477339684714,-0.998665239257524,-0.988800139521226,-0.8220223448367351,-0.9993129453377398,-0.965569562643706,-0.9618455243487551,-0.996343823820661,-0.9395706467090031,-0.873254650746712,-0.9976250361490684,-0.9205153736756362,-0.8807353338450059,-0.9675372100629214,-0.7600530159234613,-0.5772563959490656,-0.8175774667265048,-0.4717172721388136,-0.2970191039431852
7,-0.9819921427892309,-0.9852514375492607,-0.9771570944320258,-0.9751539108177921,-0.9784195842833501,-0.9597419543083066,-0.939756301913921,-0.9753577960063707,-0.968400238313865,-0.959388391893877,-0.9695628609594683,-0.9662933824696123,-0.96436464905967,-0.9638600968112105,-0.9673990005232886,-0.9673510771540237,-0.9654235606253128,-0.9646260227644253,-0.958218816105483,-0.9588174285107829,-0.9473832678267592,-0.9465938010658144,-0.9841063585842426,-0.9803373727264143,-0.9782815430408633,-0.9878748722020599,-0.9574334793350081,-0.9749256463826479,-0.9977061707901487,-0.889652717582054,-0.904807888995063,-0.9977469720202934,-0.9703324133414392,-0.9899093355193198,-0.9988350260966047,-0.9560339547629934,-0.9550104162540605,-0.9934155243033762,-0.9283959740545455,-0.930499245281326,-0.9957763406944612,-0.9127436501472015,-0.871263411051587,-0.9626410584910254,-0.7549395939026762,-0.5432453454372246,-0.800512017085122,-0.4346479722843457,-0.2622778250869747
8,-0.9784235843764058,-0.9840939189828884,-0.9808606057046722,-0.9738247843364032,-0.9809347122955641,-0.9705227047463946,-0.9558607412731361,-0.9795708055650578,-0.974028849703417,-0.9598666159591722,-0.9735639261800118,-0.9656225115189334,-0.9648677450599481,-0.9695281626899372,-0.976828001816157,-0.9717819737743434,-0.9763924228185787,-0.9739061079200131,-0.9674566789471654,-0.9708465722910448,-0.9564126838230291,-0.9607896224740323,-0.9893432435889125,-0.9826624751651973,-0.9817072768673875,-0.9886372304326946,-0.9548044762764146,-0.9689746348921519,-0.9983426070672429,-0.8862771205294278,-0.8378130308352124,-0.9984355031182741,-0.977214631723316,-0.89755062948421,-0.999078227137012,-0.9496815721735161,-0.9549601182969664,-0.9958999227465137,-0.9292042394144946,-0.8688994272385006,-0.9974408569387162,-0.9176771464389983,-0.9195026323432428,-0.9639204311214891,-0.7870923814645326,-0.7504844125094394,-0.8348805971068116,-0.7209802398563867,-0.6953474630273712
9,-0.9757520912775852,-0.9824701363257574,-0.9765910171754504,-0.9716920442001729,-0.9743516854704393,-0.9523606306192615,-0.9377490986150189,-0.9722903010588482,-0.9659489899648035,-0.9554940680738859,-0.9685387510827608,-0.9570487745470981,-0.9532450113327051,-0.9582468016969787,-0.9580253606707447,-0.9565540032205876,-0.9638785704006707,-0.9611791029042623,-0.9549243295508215,-0.9592845469891045,-0.9489705547430478,-0.9489868557443518,-0.981644380536396,-0.9752436846751158,-0.9710859498118386,-0.9866771593520502,-0.9617537733257833,-0.9783996459344021,-0.9972962866026486,-0.9239234889294282,-0.8911477037855706,-0.9972206108135244,-0.9696670397059111,-0.9737694350159234,-0.9980688329233751,-0.9563405837077252,-0.9639087907432895,-0.9947521013905021,-0.9287005558246793,-0.9130975691470631,-0.996391966612187,-0.9164630971885569,-0.8820874675650405,-0.9548654352737301,-0.7470349697404026,-0.5471015908792158,-0.8037562264926055,-0.44390572034926656,-0.2574792372598831
