,conv1,conv1_1,conv2,conv2_1,conv3,conv3_1,conv3_2,conv4,conv4_1,conv4_2,conv5,conv5_1,conv5_2,fc6,fc7,fc8a
0,-0.8743554557631801,-0.8634884035176251,-0.834178065034489,-0.829675731558098,-0.7335871056474319,-0.6865456906760086,-0.7179352131319701,-0.6398245070810691,-0.5823870283654398,-0.608931627203829,-0.5363287161128054,-0.4747555077352278,-0.44130734168165875,-0.34600223082598275,-0.35533264934563513,-0.3902867007822391
1,-0.9483811462599389,-0.9245049991997638,-0.9325118575475465,-0.9462585629965072,-0.9166139797240006,-0.8805244586829054,-0.8657295103609717,-0.817011810528274,-0.7293748350057252,-0.7075226200993733,-0.6375858089347349,-0.5906860512488584,-0.5570075931855517,-0.5372883748416803,-0.42326944946204026,-0.5504534209859318
2,-0.9623561855586693,-0.9388826361778365,-0.9396979272380965,-0.9441985649710238,-0.9078532929905596,-0.8557589161768981,-0.8202647126001154,-0.7301278092269061,-0.6672943084300099,-0.660191228368081,-0.6065609671806069,-0.6037675653507081,-0.5299846502761718,-0.5157759233006287,-0.4941296999985178,-0.5262158676932278
3,-0.9419662616170503,-0.9217751711710184,-0.9132126317440323,-0.9067225864249546,-0.8586970266971398,-0.8226202365576247,-0.8157085476180469,-0.801229100459836,-0.742158671303754,-0.7140883689589164,-0.6979941339743627,-0.6584346195438523,-0.5998097741044817,-0.5587005361027364,-0.4068405228616398,-0.456550382929624
4,-0.9657963070279769,-0.9431683478460531,-0.927360342532767,-0.9101225413309613,-0.8427753175561679,-0.8048103448144246,-0.7851580286714707,-0.7620422351760546,-0.7137273194536726,-0.7035537571073923,-0.7005224070358971,-0.6397742846366556,-0.6244721504115657,-0.535042184966221,-0.4181091653967965,-0.3173776306432412
5,-0.8698998889727622,-0.8572531874163101,-0.8238144480659713,-0.8239587188122802,-0.7749677629411712,-0.749638204275737,-0.755187347324272,-0.7794817152509003,-0.7168054314417517,-0.7100654689997018,-0.7154394778000948,-0.6691459708920703,-0.5907553182369251,-0.4425414712493805,-0.3990133890211499,-0.5641630975381315
6,-0.9765272436633454,-0.951106190342588,-0.9258631372479497,-0.8975721578895336,-0.8196407747370711,-0.7807518150779573,-0.7624421567290751,-0.7284433496502646,-0.6656441537808051,-0.6458563002300436,-0.5953270887704101,-0.5475267686316846,-0.48372428854761873,-0.5367854559511236,-0.42933662057239896,-0.2289434709629428
7,-0.9628516065576611,-0.9452556576109804,-0.9381090897298794,-0.9316832665566259,-0.8838858603689095,-0.8342260632811871,-0.8088142957480717,-0.7635227690805809,-0.6939977602110949,-0.6698672685419466,-0.6667276990470483,-0.6218754227666758,-0.5547618313308447,-0.3806276346758186,-0.3493662023683464,-0.47811879108073835
8,-0.9569438692443825,-0.9501002170719584,-0.9384657768163785,-0.8920583495635549,-0.8018914781010207,-0.7613026998585946,-0.7241748853807218,-0.6833172375719696,-0.6656790578175253,-0.6428015062811332,-0.6026222708091382,-0.5450902595548115,-0.3988894274105916,-0.39635495577115665,-0.4464885960289314,-0.5135499616006586
9,-0.9682072615908404,-0.94441733614471,-0.9128489396399726,-0.8833828873303436,-0.8090711799255614,-0.7750894648634864,-0.768301109809978,-0.7311983924130497,-0.693016229523524,-0.6925874527419135,-0.6573763273772624,-0.6335933921006509,-0.6254399560121939,-0.5203103174041247,-0.4234196527468982,-0.43837342514327526
10,-0.9272659549346414,-0.9276855111659221,-0.9364772161061565,-0.9434025214112904,-0.8980532730213524,-0.8381298209522308,-0.8138474005698714,-0.69841478788314,-0.6564186711440472,-0.6456526982104173,-0.5960189123000746,-0.5689861187036819,-0.4031820662851686,-0.4717023347758457,-0.4363034662936077,-0.4464717955550015
11,-0.9520775471035602,-0.9260882729158624,-0.9035070713646379,-0.8945865428194959,-0.8438254988603372,-0.7999484770629883,-0.781227372605793,-0.7529598334292149,-0.685686330705147,-0.6895041221381853,-0.6223497543142197,-0.5859140795200368,-0.4948380388520183,-0.4913597783764492,-0.5180917104477919,-0.38830047455368144
12,-0.9525561644319791,-0.9279890060575493,-0.9248833014989236,-0.9269365502323273,-0.8805434577729995,-0.8325915671662751,-0.8134597446390059,-0.786678079255844,-0.6998017431859983,-0.7150572449454734,-0.636598254816847,-0.5910473309269147,-0.6300193958691349,-0.4995255010829084,-0.445083777849068,-0.2710446833953315
